Tran Date,CHQNO,PARTICULARS,DR,CR,BAL,SOL
01-05-2026,-,UPI/P2M/648721392140/5PAISA CAPITAL LIMITE/547716/HDFC BANK LTD, ,             50000.00,           256597.55,037
03-05-2026,-,UPI/P2M/612324338823/Mr Ashfakh Abdul Rauf/Pay to/FEDERAL BANK, ,               100.00,           256497.55,037
04-05-2026,-,ACH-DR-TP ACH INDIANESIGN-2188142891-UTIB70208052, ,              2000.00,           254497.55,037
04-05-2026,-,ACH-DR-TP ACH INDIANESIGN-2188142889-UTIB70208052, ,              2000.00,           252497.55,037
04-05-2026,-,ACH-DR-TP ACH INDIANESIGN-2188142890-UTIB70208052, ,              2000.00,           250497.55,037
04-05-2026,-,ACH-DR-TP ACH INDIANESIGN-2188142888-UTIB70208052, ,              2000.00,           248497.55,037
04-05-2026,-,ACH-DR-TP ACH INDIANESIGN-2188142892-UTIB70208052, ,              2500.00,           245997.55,037
04-05-2026,-,ACH-DR-TP ACH INDIANESIGN-2188142893-UTIB70208052, ,              2500.00,           243497.55,037
04-05-2026,-,ACH-DR-TP ACH INDIANESIGN-2188164911-UTIB70208052, ,              2000.00,           241497.55,037
04-05-2026,-,ACH-DR-TP ACH INDIANESIGN-2188164910-UTIB70208052, ,              2000.00,           239497.55,037
04-05-2026,-,NEFT/MB/AXOMB12402067054/Shivdeep Society/CANARA BANK/Others-maintenanace for April, ,              1550.00,           237947.55,037
05-05-2026,-,UPI/P2M/100086740382/5Paisa MF/INDUSIND /UPI Mand//P2V/, ,              2500.00,           235447.55,037
05-05-2026,-,UPI/P2M/100086740383/5Paisa MF/INDUSIND /UPI Mand//P2V/, ,              2500.00,           232947.55,037
06-05-2026,-,ACH-DR-TP ACH INDIANESIGN-2195283356-UTIB70208052, ,              2000.00,           230947.55,037
07-05-2026,-,UPI/P2A/231021491276/GOOGLE IN/UTIB/UPI/,                 1.00, ,           230948.55,037
07-05-2026,-,UPI/P2M/649376744367/Google India Digital /UPI/AXIS BANK, ,               200.90,           230747.65,037
08-05-2026,-,UPI/P2M/612891730769/Google India Digital /UPI/AXIS BANK, ,               300.90,           230446.75,037
08-05-2026,-,ACH-DR-TP ACH INDIANESIGN-2197966660-UTIB70208052, ,              5000.00,           225446.75,037
09-05-2026,-,UPI/P2A/649596430994/ARVIND BABURAO GORE  /UPI/AXIS BANK, ,               500.00,           224946.75,037
09-05-2026,-,UPI/P2M/649574180975/CR AGARWAL   SONS    /UPI/AXIS BANK, ,               200.00,           224746.75,037
09-05-2026,-,UPI/P2M/649589096864/AFFAN CHICKEN AND EGG/UPI/AXIS BANK, ,               235.00,           224511.75,037
09-05-2026,-,UPI/P2M/649597088100/MOSIN BASHIR BAGAWAN /UPI/YES BANK LIMITED YBS, ,                20.00,           224491.75,037
09-05-2026,-,UPI/P2M/649573182763/RAJ ENTERPRISES      /UPI/YES BANK LIMITED YBS, ,                20.00,           224471.75,037
09-05-2026,-,UPI/P2M/649596690008/MS JAINS FOOD        /UPI/YES BANK LIMITED YBS, ,                40.00,           224431.75,037
10-05-2026,-,UPI/P2M/649604496254/BharatPe Merchant    /Pay To/YesBank_Yespay, ,               200.00,           224231.75,037
10-05-2026,-,UPI/P2M/103272412880/IRCTCTOURISM         /PAYMEN/HDFC BANK LTD, ,              9925.85,           214305.90,037
10-05-2026,-,UPI/P2M/613075244979/M S CENTURY AUTOMOBIL/UPI/ICICI Bank, ,              1300.00,           213005.90,037
11-05-2026,-,ACH-DR-TP ACH INDIANESIGN-2199950212-UTIB70208052, ,              2500.00,           210505.90,037
12-05-2026,-,ECS/111122192139375/RAZORPAY SOFTWARE PRIVATE LIM, ,             30000.00,           180505.90,037
13-05-2026,-,ICICI Prudential, ,              2500.00,           178005.90,006
16-05-2026,-,NEFT/IN22613648571269/5PAISA CAPITAL LIMITED CLIEN/ICICI BANK LIMITED/5PAISA CAPITAL LIMITED CLIENT,             49911.50, ,           227917.40,248
16-05-2026,-,UPI/P2M/613676420875/Amazon Pay on Deliver/UPI/Amazon RBL, ,               306.00,           227611.40,037
17-05-2026,-,UPI/P2M/650365615365/CR AGARWAL   SONS    /UPI/AXIS BANK, ,               200.00,           227411.40,037
17-05-2026,-,UPI/P2M/650384114536/AFFAN CHICKEN AND EGG/UPI/AXIS BANK, ,               177.00,           227234.40,037
18-05-2026,-,UPI/P2A/613871503493/N D DESHMUKH         /UPI/CANARA BANK, ,             19000.00,           208234.40,037
20-05-2026,-,UPI/P2M/650667283760/HP Police Welfare Pet/UPI/YES BANK LIMITED YBS, ,               700.00,           207534.40,037
21-05-2026,-,UPI/P2M/614130335357/SECRETARY CBSE REVALU/Paymen/HDFC BANK LTD, ,               139.34,           207395.06,037
22-05-2026,-,UPI/P2M/650853482753/08 ANAND SERVICE STAT/UPI/YES BANK LIMITED YBS, ,              1000.00,           206395.06,037
22-05-2026,-,UPI/P2M/650852081277/jodhpur mithai bhanda/UPI/YES BANK LIMITED YBS, ,               160.00,           206235.06,037
24-05-2026,-,UPI/P2M/651051371409/CHINMAY ICE CREAM PAR/UPI/YES BANK LIMITED YBS, ,                35.00,           206200.06,037
26-05-2026,-,UPI/P2M/614623956954/INDIAN RAILWAY CATERI/UPI Pa/AXIS  BANK ABR, ,              1639.05,           204561.01,037
27-05-2026,-,UPI/P2A/103360963997/IRCTCTOUR/HDFC/REFUND/,              1790.36, ,           206351.37,037
27-05-2026,-,UPI/P2M/614797640506/Google India Digital /UPI/AXIS BANK, ,              2459.53,           203891.84,037
27-05-2026,-,UPI/P2M/614719252727/Newton School        /UPI/AIRTEL PAYMENTS BANK, ,             50000.00,           153891.84,037
30-05-2026,-,NEFT/SBIN326150673868/MUNITIONS INDIA LTD  HIGH EX/STATE BANK OF INDIA//ATTN//INB,            107083.00, ,           260974.84,248
30-05-2026,-,UPI/P2M/615048085070/C R AGARWAL AND SONS /UPI/YES BANK LIMITED YBS, ,               200.00,           260774.84,037
31-05-2026,-,UPI/P2M/651731157313/EKART                /UPI/AXIS BANK, ,               539.00,           260235.84,037
31-05-2026,-,UPI/P2M/651727140318/EKART                /UPI/AXIS BANK, ,               717.00,           259518.84,037
31-05-2026,-,UPI/P2M/651773568424/C R AGARWAL AND SONS /UPI/YES BANK LIMITED YBS, ,               400.00,           259118.84,037
31-05-2026,-,UPI/P2M/651762845504/C R AGARWAL AND SONS /UPI/YES BANK LIMITED YBS, ,               200.00,           258918.84,037
31-05-2026,-,UPI/P2M/651750059951/RAJ ENTERPRISES      /UPI/YES BANK LIMITED YBS, ,                20.00,           258898.84,037
